method,rr_long,rr_short,yc_long,yc_short,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,n_trades
D,2.0,-3.25,0.0,-0.25,-0.07846261775672786,-0.07697566686878966,-0.0008219742619115511,0.14016577931981203,-0.2964455284095439,-0.002772766606808052,-0.013936753587881268,5
D,2.0,-3.25,0.0,0.0,-0.07846261775672786,-0.07697566686878966,-0.0008219742619115511,0.14016577931981203,-0.2964455284095439,-0.002772766606808052,-0.013936753587881268,5
D,2.0,-3.25,0.0,0.5,-0.07690979258281559,-0.07604922871771883,0.0002495927119881003,0.13621403314819025,-0.29644552840954624,0.0008419513471064481,0.004268466235287649,9
D,2.0,-3.25,0.25,-1.0,-0.04695395880120331,-0.04564966861154217,0.0028113793560888833,0.1443224232088774,-0.3382406744338099,0.008311771967682261,0.04908230040239325,3
D,2.0,-3.25,0.25,-0.5,-0.07846261775672786,-0.07697566686878966,-0.0008219742619115511,0.14016577931981203,-0.2964455284095439,-0.002772766606808052,-0.013936753587881268,5
D,2.0,-3.25,0.25,-0.25,-0.07846261775672786,-0.07697566686878966,-0.0008219742619115511,0.14016577931981203,-0.2964455284095439,-0.002772766606808052,-0.013936753587881268,5
D,2.0,-3.25,0.25,0.0,-0.07846261775672786,-0.07697566686878966,-0.0008219742619115511,0.14016577931981203,-0.2964455284095439,-0.002772766606808052,-0.013936753587881268,5
D,2.0,-3.25,0.25,0.5,-0.04977836122216148,-0.04951954732319252,0.0041119156873685725,0.13536370985642804,-0.29644552840954375,0.013870729335771603,0.07254686206986549,9
D,2.0,-3.25,0.5,-1.0,-0.04695395880120331,-0.04564966861154217,0.0028113793560888833,0.1443224232088774,-0.3382406744338099,0.008311771967682261,0.04908230040239325,3
D,2.0,-3.25,0.5,-0.5,-0.07846261775672786,-0.07697566686878966,-0.0008219742619115511,0.14016577931981203,-0.2964455284095439,-0.002772766606808052,-0.013936753587881268,5
D,2.0,-3.25,0.5,-0.25,-0.07846261775672786,-0.07697566686878966,-0.0008219742619115511,0.14016577931981203,-0.2964455284095439,-0.002772766606808052,-0.013936753587881268,5
D,2.0,-3.25,0.5,0.0,-0.07846261775672786,-0.07697566686878966,-0.0008219742619115511,0.14016577931981203,-0.2964455284095439,-0.002772766606808052,-0.013936753587881268,5
D,2.0,-3.25,0.5,0.5,-0.09689394697612322,-0.0959465597232471,-0.0012568096375781268,0.13091808625703788,-0.2839288015813351,-0.004426495764354844,-0.02123532634456249,9
D,2.0,-3.25,1.0,-1.0,-0.04695395880120331,-0.04564966861154217,0.0028113793560888833,0.1443224232088774,-0.3382406744338099,0.008311771967682261,0.04908230040239325,3
D,2.0,-3.25,1.0,-0.5,-0.07846261775672786,-0.07697566686878966,-0.0008219742619115511,0.14016577931981203,-0.2964455284095439,-0.002772766606808052,-0.013936753587881268,5
D,2.0,-3.25,1.0,-0.25,-0.07846261775672786,-0.07697566686878966,-0.0008219742619115511,0.14016577931981203,-0.2964455284095439,-0.002772766606808052,-0.013936753587881268,5
D,2.0,-3.25,1.0,0.0,-0.07846261775672786,-0.07697566686878966,-0.0008219742619115511,0.14016577931981203,-0.2964455284095439,-0.002772766606808052,-0.013936753587881268,5
D,2.0,-3.25,1.0,0.5,-0.12015153438327038,-0.12616703250061723,-0.0011596343801166809,0.11808516674919596,-0.28136200538433215,-0.0041215031096066244,-0.01960869715505653,7
D,2.0,-3.0,-0.5,-1.0,-0.03964659576187236,-0.03916983267604753,0.004909504712869994,0.1386259590493512,-0.31085938044274397,0.01579332978749939,0.08718061893073248,7
D,2.0,-3.0,-0.5,-0.5,-0.06866484380335403,-0.0684761868939252,0.0017712008131900436,0.1342646462891973,-0.2777686131218658,0.006376533306925366,0.030663901901824886,9
D,2.0,-3.0,-0.5,-0.25,-0.06175460174599259,-0.06161182767374336,0.002712698827791016,0.13420574278992173,-0.2777686131218658,0.009766037988607697,0.04732175440418196,9
D,2.0,-3.0,-0.5,0.0,-0.06175460174599259,-0.06161182767374336,0.002712698827791016,0.13420574278992173,-0.2777686131218658,0.009766037988607697,0.04732175440418196,9
D,2.0,-3.0,-0.5,0.5,-0.05970678629819225,-0.060096505868539256,0.0037880565565402424,0.13007300763044824,-0.2777686131218651,0.013637453540794087,0.06665796111698241,13
D,2.0,-3.0,0.0,-1.0,-0.051759514934880166,-0.04953615388946756,0.005204288470099794,0.12796047975506217,-0.2973596599629457,0.01750166270283032,0.09263657642772394,7
