method,yc_confirm,tl_c,ts_c,tl_s,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,n_trades
C,-0.5,-3.0,2.75,-4.0,0.028700155818986273,0.02856134084346066,0.017887632772964457,0.101916457978383,-0.23607758712951205,0.07577014400418838,0.35337040575061285,5
C,-0.5,-3.0,2.75,-3.75,0.028700155818986273,0.02856134084346066,0.017887632772964457,0.101916457978383,-0.23607758712951205,0.07577014400418838,0.35337040575061285,5
C,-0.5,-3.0,2.75,-3.5,0.028700155818986273,0.02856134084346066,0.017887632772964457,0.101916457978383,-0.23607758712951205,0.07577014400418838,0.35337040575061285,5
C,-0.5,-3.0,3.0,-4.5,-0.0370797394029255,-0.03706806532229615,0.011504128901802746,0.09891284560496846,-0.23607758712951216,0.04873028838392685,0.21558501521616913,3
C,-0.5,-3.0,3.0,-4.25,-0.0370797394029255,-0.03706806532229615,0.011504128901802746,0.09891284560496846,-0.23607758712951216,0.04873028838392685,0.21558501521616913,3
C,-0.5,-3.0,3.0,-4.0,-0.0370797394029255,-0.03706806532229615,0.011504128901802746,0.09891284560496846,-0.23607758712951216,0.04873028838392685,0.21558501521616913,3
C,-0.5,-3.0,3.0,-3.75,-0.0370797394029255,-0.03706806532229615,0.011504128901802746,0.09891284560496846,-0.23607758712951216,0.04873028838392685,0.21558501521616913,3
C,-0.5,-3.0,3.0,-3.5,-0.0370797394029255,-0.03706806532229615,0.011504128901802746,0.09891284560496846,-0.23607758712951216,0.04873028838392685,0.21558501521616913,3
C,-0.5,-3.0,3.25,-4.5,-0.0370797394029255,-0.03706806532229615,0.011504128901802746,0.09891284560496846,-0.23607758712951216,0.04873028838392685,0.21558501521616913,3
C,-0.5,-3.0,3.25,-4.25,-0.0370797394029255,-0.03706806532229615,0.011504128901802746,0.09891284560496846,-0.23607758712951216,0.04873028838392685,0.21558501521616913,3
C,-0.5,-3.0,3.25,-4.0,-0.0370797394029255,-0.03706806532229615,0.011504128901802746,0.09891284560496846,-0.23607758712951216,0.04873028838392685,0.21558501521616913,3
