method,k_yc,tl_c,ts_c,tl_s,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,n_trades
A,0.0,-2.75,2.75,-3.5,0.25280247713540066,0.25989988677858095,0.04107526777948656,0.09982946227268814,-0.26484544458224274,0.15509146417178193,0.9878131002591828,19
A,0.0,-2.75,3.0,-4.5,0.2074502016839443,0.21366681924189526,0.03623332005452817,0.09858418421465315,-0.26484544458224274,0.13680930065337257,0.835782268542749,16
A,0.0,-2.75,3.0,-4.25,0.2074502016839443,0.21366681924189526,0.03623332005452817,0.09858418421465315,-0.26484544458224274,0.13680930065337257,0.835782268542749,16
A,0.0,-2.75,3.0,-4.0,0.20798352911430662,0.21427268031398883,0.03628718343654036,0.09857877562935066,-0.26484544458224274,0.1370126773136627,0.8374115927359236,17
A,0.0,-2.75,3.0,-3.75,0.20798352911430662,0.21427268031398883,0.03628718343654036,0.09857877562935066,-0.26484544458224274,0.1370126773136627,0.8374115927359236,17
A,0.0,-2.75,3.0,-3.5,0.20798352911430662,0.21427268031398883,0.03628718343654036,0.09857877562935066,-0.26484544458224274,0.1370126773136627,0.8374115927359236,17
A,0.0,-2.75,3.25,-4.5,0.18580171714421623,0.1926318798812805,0.033775516098265346,0.09586098896926136,-0.264845444582239,0.12752915630299796,0.7628660549007698,16
A,0.0,-2.75,3.25,-4.25,0.18580171714421623,0.1926318798812805,0.033775516098265346,0.09586098896926136,-0.264845444582239,0.12752915630299796,0.7628660549007698,16
A,0.0,-2.75,3.25,-4.0,0.18634926234316668,0.19325071613497258,0.033829251723689335,0.09585543235313382,-0.264845444582239,0.12773205058161677,0.7644306632760629,17
A,0.0,-2.75,3.25,-3.75,0.18634926234316668,0.19325071613497258,0.033829251723689335,0.09585543235313382,-0.264845444582239,0.12773205058161677,0.7644306632760629,17
A,0.0,-2.75,3.25,-3.5,0.18634926234316668,0.19325071613497258,0.033829251723689335,0.09585543235313382,-0.264845444582239,0.12773205058161677,0.7644306632760629,17
A,0.05,-3.75,2.25,-4.5,0.0997164718800041,0.09998368974712826,0.025083035321603164,0.11951881012903635,-0.27401039625327456,0.09154045125506223,0.5262637656614113,12
A,0.05,-3.75,2.25,-4.25,0.13170184559095452,0.13161581319274615,0.028979881658251383,0.1173479164340794,-0.23900121511942712,0.12125411849379239,0.6283733800380713,16
