combo,signal,base,f1_slope,f2_sma,f3_move,f4_xtenor,sharpe,sortino,ann_ret,vol,mdd,calmar,excess,n_events,eq_final
F1+F3+F4,z_move,baseline,-1.0,,"(80, 140)",2.0,0.17700300311809214,0.20642482542076226,0.037299109770696504,0.0977334252298248,-0.23607758712951366,0.15799513297394885,0.05342025341885781,14,1.8682757520891544
F1+F3+F4,z_move,baseline,-1.0,,"(80, 120)",2.0,0.17700300311809214,0.20642482542076226,0.037299109770696504,0.0977334252298248,-0.23607758712951366,0.15799513297394885,0.05342025341885781,14,1.8682757520891544
F1+F3+F4,z_move,baseline,-0.5,,"(80, 140)",2.0,0.17700300311809214,0.20642482542076226,0.037299109770696504,0.0977334252298248,-0.23607758712951366,0.15799513297394885,0.05342025341885781,14,1.8682757520891544
F3,z_move,optimized,,,"(80, 140)",,0.1733728227878031,0.20229988012518293,0.036946230649473,0.0977444467764943,-0.23607758712951155,0.1565003738758326,0.05306737429763431,19,1.8574577934250283
F1+F3+F4,z_move,optimized,0.0,,"(80, 140)",2.0,0.1733728227878031,0.20229988012518293,0.036946230649473,0.0977444467764943,-0.23607758712951155,0.1565003738758326,0.05306737429763431,14,1.8574577934250283
F3,z_move,optimized,,,"(80, 120)",,0.1733728227878031,0.20229988012518293,0.036946230649473,0.0977444467764943,-0.23607758712951155,0.1565003738758326,0.05306737429763431,19,1.8574577934250283
F1+F3+F4,z_move,optimized,-1.0,,"(80, 120)",2.0,0.1733728227878031,0.20229988012518293,0.036946230649473,0.0977444467764943,-0.23607758712951155,0.1565003738758326,0.05306737429763431,14,1.8574577934250283
F1+F3+F4,z_move,optimized,-1.0,,"(80, 140)",2.0,0.1733728227878031,0.20229988012518293,0.036946230649473,0.0977444467764943,-0.23607758712951155,0.1565003738758326,0.05306737429763431,14,1.8574577934250283
F1+F3+F4,z_move,optimized,-0.5,,"(80, 140)",2.0,0.1733728227878031,0.20229988012518293,0.036946230649473,0.0977444467764943,-0.23607758712951155,0.1565003738758326,0.05306737429763431,14,1.8574577934250283
F1+F3+F4,z_move,optimized,-0.5,,"(80, 120)",2.0,0.1733728227878031,0.20229988012518293,0.036946230649473,0.0977444467764943,-0.23607758712951155,0.1565003738758326,0.05306737429763431,14,1.8574577934250283
F1+F3+F4,z_move,optimized,-0.25,,"(80, 140)",2.0,0.1733728227878031,0.20229988012518293,0.036946230649473,0.0977444467764943,-0.23607758712951155,0.1565003738758326,0.05306737429763431,14,1.8574577934250283
F3+F4,z_move,optimized,,,"(80, 120)",2.0,0.1733728227878031,0.20229988012518293,0.036946230649473,0.0977444467764943,-0.23607758712951155,0.1565003738758326,0.05306737429763431,14,1.8574577934250283
F1+F3,z_move,optimized,-0.5,,"(80, 140)",,0.1733728227878031,0.20229988012518293,0.036946230649473,0.0977444467764943,-0.23607758712951155,0.1565003738758326,0.05306737429763431,19,1.8574577934250283
F1+F3,z_move,optimized,-1.0,,"(80, 120)",,0.1733728227878031,0.20229988012518293,0.036946230649473,0.0977444467764943,-0.23607758712951155,0.1565003738758326,0.05306737429763431,19,1.8574577934250283
F1+F3+F4,z_move,optimized,0.0,,"(80, 120)",2.0,0.1733728227878031,0.20229988012518293,0.036946230649473,0.0977444467764943,-0.23607758712951155,0.1565003738758326,0.05306737429763431,14,1.8574577934250283
F1+F3,z_move,optimized,-0.25,,"(80, 140)",,0.1733728227878031,0.20229988012518293,0.036946230649473,0.0977444467764943,-0.23607758712951155,0.1565003738758326,0.05306737429763431,19,1.8574577934250283
F1+F3,z_move,optimized,-0.5,,"(80, 120)",,0.1733728227878031,0.20229988012518293,0.036946230649473,0.0977444467764943,-0.23607758712951155,0.1565003738758326,0.05306737429763431,19,1.8574577934250283
F1+F3+F4,z_move,optimized,-0.25,,"(80, 120)",2.0,0.1733728227878031,0.20229988012518293,0.036946230649473,0.0977444467764943,-0.23607758712951155,0.1565003738758326,0.05306737429763431,14,1.8574577934250283
F1+F3,z_move,optimized,-0.25,,"(80, 120)",,0.1733728227878031,0.20229988012518293,0.036946230649473,0.0977444467764943,-0.23607758712951155,0.1565003738758326,0.05306737429763431,19,1.8574577934250283
F1+F3,z_move,optimized,-1.0,,"(80, 140)",,0.1733728227878031,0.20229988012518293,0.036946230649473,0.0977444467764943,-0.23607758712951155,0.1565003738758326,0.05306737429763431,19,1.8574577934250283
