DATE,steep_2s5s,steep_5s10s,steep_10s20s,steep_20s30s,steep_2s10s,steep_2s30s,steep_5s30s,steep_10s30s,flat_10s2s,flat_30s2s,flat_30s5s,flat_30s10s,bfly_2s5s10s_pos,bfly_2s5s10s_neg,bfly_2s10s30s_pos,bfly_2s10s30s_neg,bfly_5s10s30s_pos,bfly_5s10s30s_neg,bh_tlt,bh_shv,bh_ief,bh_50_50,barbell_shy_tlt,barbell_shy_ief,barbell_iei_tlt
2016-02-02,-1.0756899735986247,-0.05137913295770236,0.3142347503591199,0.13465151232099865,-0.5603727554000592,-0.146349406497745,0.2629541520316201,0.19046476517527602,0.21592845189696241,0.06053976364631332,-0.508815975612297,-0.7363709848607978,-1.163144114630127,0.11193785298334215,-1.010299600553949,0.27878739409550424,-0.8993051126164251,0.16049715167372924,0.3567696601980047,-1.0702960911619575,0.5105454265564033,0.32819252529931797,0.19785103756246203,0.32760892584315104,0.47987341501775005
2016-02-03,-0.9287160352841325,-0.17419023180733048,0.45979174538133816,0.1517274007545425,-0.5057797795288926,-0.022823276791572866,0.32535439981142344,0.4183541307900439,0.11743572620444015,-0.13603901100112142,-0.6534342593861617,-1.0106625089379981,-1.0016407651650303,-0.1212795745320548,-1.2576390352129285,0.507045414919506,-1.199231325464662,0.4464854694627676,0.3529375988776081,-0.8669212145187636,0.6572894038911639,0.329208797833256,0.3467252284391916,0.6058465824287664,0.5396092150828575
2016-02-04,-1.0882792079736818,-0.26711487208035,0.5966605139923306,0.08450892070813551,-0.6660456378421219,-0.12519067495532452,0.3121721689356788,0.46133964326936805,0.2777442591037945,-0.037695049321144564,-0.623443688537102,-1.0401559327384065,-0.9581367290624034,-0.13800905167913602,-1.3233668099723506,0.5907942243455664,-1.2582947374998292,0.5137007701124555,0.47413534151211967,-0.865348246115128,0.8201969984457118,0.448853181633322,0.4743913562459009,0.7575578632071767,0.6806881523295703
2016-02-05,-1.1134254912193855,-0.31297231571496054,0.6090266046723524,0.10836063209036766,-0.6917933977997097,-0.11659682654057363,0.32103870605753804,0.5074526295529529,0.33862820980519376,-0.01819658358801217,-0.6307440290987102,-1.0864008191581416,-0.9185197202536147,-0.19144225138023302,-1.3791704278898314,0.6473956026231581,-1.3230278615040243,0.5773976180791718,0.45667261754741495,-1.1654020356552441,0.8276943590036293,0.4317647972070786,0.431331714961398,0.7250219819997213,0.6615209148793995
2016-02-08,-1.1409701850120924,-0.26423560423423076,0.7382975738967859,-0.06518438538696514,-0.6817835459544163,-0.11261815649863391,0.33422199446274525,0.4998133394555755,0.2866214887361365,-0.09135772358161383,-0.6626307313225365,-1.1213053034856282,-0.8842977417736964,-0.14365390480281848,-1.399307483734502,0.6329765122849063,-1.3499217626309012,0.567899641373123,0.522763012151915,-1.112573317173744,0.9920642268496169,0.5067082548911725,0.638622726982074,1.0236705971346711,0.8156818935686213
2016-02-09,-1.3098693062283808,-0.42851954640878076,0.8535395342314587,-0.18964010375889243,-0.8688818591767433,-0.27821963988414145,0.20937801403478049,0.4196916534063383,0.46310976313674806,0.06696770412985435,-0.5355831354842853,-1.0418955065523574,-0.752136448818981,-0.26575814615801513,-1.3458178087903956,0.5804393324696557,-1.2936119227530432,0.5117483955951342,0.6472817235987727,-0.6542671177216559,1.1009954297627453,0.6314457136585961,0.7073501621566334,1.0678126762663078,0.9163088072152134
2016-02-10,-1.3653091648332403,-0.49218633941112067,0.8263351618938521,-0.17558420866487265,-0.9141595428597981,-0.3170572315043977,0.14660580494276856,0.3550573036249227,0.6456279229413271,0.2439538850738578,-0.42738564813766683,-0.9457183228126931,-0.7189247965863984,-0.30132398722985154,-1.3011227478484424,0.5398113268737238,-1.240186698253509,0.466507996718814,0.6579892895080041,-0.860539900805691,1.079912112699537,0.6448757854758747,0.6320794813273962,0.9538754759062031,0.8999614523187728
2016-02-11,-1.2703930584604206,-0.7248897818380343,0.970334822102071,-0.23867710859580413,-0.937549999557255,-0.30332882738121103,0.07219916957257538,0.3752879025429975,0.7292960688721575,0.3193895443184293,-0.29844746244285886,-0.9488348130172903,-0.4566769918731632,-0.6278563205332951,-1.3218592092815424,0.5647854137535888,-1.308435545392415,0.531658022151276,0.7993792365499865,-0.6596866347691391,1.2328880601620589,0.7855433996342602,0.7999787049772012,1.139802421598729,1.0197868857449672
2016-02-12,-1.2243296301177984,-0.5554979423326125,0.694435150269086,-0.1671088254142683,-0.8450031247913856,-0.22914611583947272,0.17016069071726822,0.37913621614249293,0.5755099632524419,0.2228870130575845,-0.40723731480564657,-0.9598503296322773,-0.700000451362855,-0.4299351893677951,-1.3127661782120785,0.541378817688522,-1.2733718607371527,0.4837853463992741,0.5949034266444735,-0.4526245233981936,0.9686957558960625,0.5849452308939754,0.5611130094076386,0.8589623101623409,0.8084393447299174
2016-02-16,-1.2240726874231735,-0.44428213686328444,0.7188886144721491,-0.02521488187439032,-0.7824956632387017,-0.0803500367480777,0.36132436709149984,0.5935500771229766,0.5530288278243936,0.13622451463786867,-0.5667960827382533,-1.173341061001556,-0.7795143285104131,-0.3302570957529957,-1.5094121364558049,0.7485859605892171,-1.468372383174496,0.6881003367950984,0.48028015854191464,-0.49479523523363966,0.9158476938503226,0.47180913573959027,0.4373670703729673,0.7855377684718357,0.7205920303718766
