combo_id,k,strategies,method,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret
2125,3,flat_30s2s+bh_tlt+bh_ief,equal_weight,-0.06954635220131135,-0.06746319583251656,-0.0007773552299069619,0.14583928724241682,-0.5096163746970661,-0.001525373336696744,-0.012520857062101709
2125,3,flat_30s2s+bh_tlt+bh_ief,min_variance,-0.6412986147467182,-0.6482250173800288,0.0025148692379257653,0.026713715861479807,-0.07982956212859696,0.031502981738451445,0.04153513761110972
2125,3,flat_30s2s+bh_tlt+bh_ief,max_sharpe,-0.015810708632839288,-0.01543852072407512,-0.02924358735748178,0.2997159491775757,-0.7954503403493279,-0.03676356131124319,-0.3817620599233772
2125,3,flat_30s2s+bh_tlt+bh_ief,risk_parity,-0.3067339805912069,-0.2977239996217821,0.0036592038644875924,0.049328909321940055,-0.17486178325822901,0.020926264140197083,0.06096577922215585
1764,3,steep_5s30s+bh_tlt+bh_ief,equal_weight,-0.06969203368357013,-0.06769610506395257,0.0006587384004208552,0.13896958554161806,-0.5093156394772826,0.0012933794868284962,0.010726739994565415
1764,3,steep_5s30s+bh_tlt+bh_ief,min_variance,-0.4263420577273844,-0.42995987889143417,0.0042349496362896755,0.035519283935280026,-0.1340979345053686,0.03158102063175425,0.07086997943801299
1764,3,steep_5s30s+bh_tlt+bh_ief,max_sharpe,-0.015810708632839246,-0.015438520724075082,-0.02924358735748167,0.2997159491775756,-0.7954503403493277,-0.03676356131124306,-0.38176205992337664
1764,3,steep_5s30s+bh_tlt+bh_ief,risk_parity,-0.28981018295267397,-0.29158868485197625,0.005015012741535152,0.04780717636970169,-0.1955908933191551,0.025640318199027363,0.08442736965262188
2496,3,bfly_2s10s30s_neg+bh_tlt+bh_ief,equal_weight,-0.06982409346036385,-0.06774520977513478,-9.246112497540704e-05,0.14244637011472297,-0.5122133724040234,-0.00018051290723131608,-0.0014970379510474974
2496,3,bfly_2s10s30s_neg+bh_tlt+bh_ief,min_variance,-0.5779483450314129,-0.5694474016556699,0.0032143551408543303,0.028356650126342815,-0.08343345207221284,0.03852597562512768,0.05337224879089342
2496,3,bfly_2s10s30s_neg+bh_tlt+bh_ief,max_sharpe,-0.015810708632839173,-0.015438520724075007,-0.02924358735748178,0.2997159491775757,-0.7954503403493287,-0.036763561311243156,-0.3817620599233782
2496,3,bfly_2s10s30s_neg+bh_tlt+bh_ief,risk_parity,-0.3225931920817174,-0.3188824920017889,0.004210067842371545,0.04573254763480454,-0.17956474415245902,0.02344596018691173,0.07044016584154456
283,2,bh_tlt+barbell_shy_ief,equal_weight,-0.07005260535095825,-0.06804807364676378,-0.006039958029819159,0.168738025228038,-0.5774801216939501,-0.010459161801278736,-0.09349473130009656
283,2,bh_tlt+barbell_shy_ief,min_variance,-0.4084363023550703,-0.3999158702775449,2.6809445422992795e-05,0.04627981027768736,-0.21531523843796835,0.00012451253156759971,0.00043446537802283025
283,2,bh_tlt+barbell_shy_ief,max_sharpe,-0.01581070863283922,-0.015438520724075056,-0.02924358735748178,0.29971594917757566,-0.7954503403493282,-0.036763561311243184,-0.3817620599233772
283,2,bh_tlt+barbell_shy_ief,risk_parity,-0.22128839159769917,-0.21504521818116873,0.0001014849411216101,0.0766470971663774,-0.33308924351484226,0.0003046779297065112,0.001645566708287749
1900,3,steep_10s30s+bh_tlt+bh_ief,equal_weight,-0.0702765304274139,-0.06825156532100662,1.1172163617123587e-05,0.1416546449092681,-0.5128019592900674,2.1786507275811774e-05,0.00018103102396316295
1900,3,steep_10s30s+bh_tlt+bh_ief,min_variance,-0.41872172394073526,-0.41640014247594553,0.0031209868215951175,0.038547988470389795,-0.12332928447170674,0.025306129318467832,0.05178494773232312
1900,3,steep_10s30s+bh_tlt+bh_ief,max_sharpe,-0.015810708632839288,-0.01543852072407512,-0.02924358735748178,0.2997159491775757,-0.7954503403493279,-0.03676356131124319,-0.3817620599233772
1900,3,steep_10s30s+bh_tlt+bh_ief,risk_parity,-0.2589203326036458,-0.257693076543211,0.00413472075242205,0.05538442930527705,-0.21778212456736964,0.018985583691204178,0.06913959061869224
2571,3,bh_tlt+bh_ief+barbell_shy_tlt,equal_weight,-0.07076595941061119,-0.0688372817101679,-0.0032643244679514405,0.1562686778045731,-0.5523324060922261,-0.00591007232591451,-0.051597550179431906
