combo_id,k,strategies,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,hit_rate,n_days
34708,5,steep_5s10s+bh_tlt+bh_ief+bh_50_50+barbell_iei_tlt,-0.07917358825350805,-0.11075605547388583,7.132725004277418e-05,0.13559581190478492,-0.496989367064922,0.00014351866411954173,0.0011562980617290108,0.5204506490325741,4083
40,2,steep_5s10s+bh_tlt,-0.07923679536668916,-0.1110102213954152,-0.0023213791932206185,0.1464355725338766,-0.5154414758410876,-0.004503671710610086,-0.036955437323194396,0.520940484937546,4083
2549,3,bfly_5s10s30s_neg+bh_tlt+barbell_iei_tlt,-0.07938526428478819,-0.11106017258396327,-0.00017626435461370882,0.1366112232117697,-0.4985404563857229,-0.0003535607839964994,-0.002852079021013587,0.5214303208425177,4083
14896,4,bfly_2s5s10s_neg+bh_tlt+bh_50_50+barbell_iei_tlt,-0.0795606746640101,-0.11136403504443852,-0.0007822201061293832,0.13929022990982234,-0.5007007378512597,-0.0015622507557832936,-0.012598750384048119,0.5204506490325741,4083
15218,4,bh_tlt+bh_shv+bh_ief+barbell_iei_tlt,-0.07968287117386105,-0.11137417006962734,0.00031090721079030104,0.13415560779872313,-0.4934069989657197,0.0006301232277653642,0.0050493594087897,0.5202057310800882,4083
810,3,steep_5s10s+bh_tlt+bh_50_50,-0.08008258282333612,-0.11212436428190037,-0.0027406623026972055,0.14773883775014482,-0.5167954993434553,-0.0053031853144599435,-0.04349208579106212,0.52069556698506,4083
15191,4,bfly_5s10s30s_neg+bh_tlt+bh_50_50+barbell_iei_tlt,-0.08015560800759504,-0.1121092584654971,-0.0009771634891212466,0.13979841033694068,-0.5037524240632004,-0.001939769304214112,-0.015715320715832704,0.5214303208425177,4083
68361,5,bh_tlt+bh_shv+bh_ief+bh_50_50+barbell_iei_tlt,-0.08030770167112718,-0.11224108623731809,-0.0004068440540513363,0.13709113085616995,-0.49860291125701117,-0.0008159680677067354,-0.00657149629548881,0.5199608131276022,4083
813,3,steep_5s10s+bh_tlt+barbell_iei_tlt,-0.08149145251691825,-0.11411603905362995,3.835550090292017e-05,0.13429916792918367,-0.49297991699322835,7.780337409454152e-05,0.0006216316524532139,0.520940484937546,4083
279,2,bh_tlt+bh_shv,-0.08164042464009101,-0.11417479497473801,-0.0036086559372878746,0.15051063483426433,-0.5196645227430846,-0.00694420299896429,-0.05689208943643931,0.5182463874602008,4083
2566,3,bh_tlt+bh_shv+bh_50_50,-0.08164042464009101,-0.11417479497473801,-0.0036086559372878746,0.15051063483426433,-0.5196645227430846,-0.00694420299896429,-0.05689208943643931,0.5182463874602008,4083
6371,4,steep_5s10s+bh_tlt+bh_50_50+barbell_iei_tlt,-0.08164832189297751,-0.11428066579427798,-0.0008227292339180181,0.1381548753634831,-0.4996489659764823,-0.0016466145032645633,-0.0132471330926075,0.5197158951751163,4083
15150,4,bfly_5s10s30s_pos+bh_tlt+bh_ief+bh_50_50,-0.0827770407685554,-0.11579682474306471,-0.0021047546728450994,0.1431995874282201,-0.5070907858860442,-0.004150646652290167,-0.03356184951197938,0.5221650746999755,4083
