DATE,mode
2012-05-08,FLAT
2012-05-09,FLAT
2012-05-10,FLAT
2012-05-11,FLAT
2012-05-14,FLAT
2012-05-15,FLAT
2012-05-16,FLAT
2012-05-17,FLAT
2012-05-18,FLAT
2012-05-21,FLAT
2012-05-22,FLAT
2012-05-23,FLAT
2012-05-24,FLAT
2012-05-25,FLAT
2012-05-29,FLAT
2012-05-30,FLAT
2012-05-31,FLAT
2012-06-01,FLAT
2012-06-04,FLAT
2012-06-05,FLAT
2012-06-06,FLAT
2012-06-07,FLAT
2012-06-08,FLAT
2012-06-11,FLAT
2012-06-12,FLAT
2012-06-13,FLAT
2012-06-14,FLAT
2012-06-15,FLAT
2012-06-18,FLAT
2012-06-19,FLAT
2012-06-20,FLAT
2012-06-21,FLAT
2012-06-22,FLAT
2012-06-25,FLAT
2012-06-26,FLAT
2012-06-27,FLAT
2012-06-28,FLAT
2012-06-29,FLAT
2012-07-02,FLAT
2012-07-03,FLAT
2012-07-05,FLAT
2012-07-06,FLAT
2012-07-09,FLAT
2012-07-10,FLAT
2012-07-11,FLAT
2012-07-12,FLAT
2012-07-13,FLAT
2012-07-16,FLAT
2012-07-17,FLAT
2012-07-18,FLAT
2012-07-19,FLAT
2012-07-20,FLAT
2012-07-23,FLAT
2012-07-24,FLAT
2012-07-25,FLAT
2012-07-26,FLAT
2012-07-27,FLAT
2012-07-30,FLAT
2012-07-31,FLAT
2012-08-01,FLAT
2012-08-02,FLAT
2012-08-03,FLAT
2012-08-06,FLAT
2012-08-07,FLAT
2012-08-08,FLAT
2012-08-09,FLAT
2012-08-10,FLAT
2012-08-13,FLAT
2012-08-14,FLAT
2012-08-15,FLAT
2012-08-16,FLAT
2012-08-17,FLAT
2012-08-20,FLAT
2012-08-21,FLAT
2012-08-22,FLAT
2012-08-23,FLAT
2012-08-24,FLAT
2012-08-27,FLAT
2012-08-28,FLAT
2012-08-29,FLAT
2012-08-30,FLAT
2012-08-31,FLAT
2012-09-04,FLAT
2012-09-05,FLAT
2012-09-06,FLAT
2012-09-07,FLAT
2012-09-10,FLAT
2012-09-11,FLAT
2012-09-12,FLAT
2012-09-13,FLAT
2012-09-14,FLAT
2012-09-17,FLAT
2012-09-18,FLAT
2012-09-19,FLAT
2012-09-20,FLAT
2012-09-21,FLAT
2012-09-24,FLAT
2012-09-25,FLAT
2012-09-26,FLAT
2012-09-27,FLAT
2012-09-28,FLAT
2012-10-01,FLAT
2012-10-02,FLAT
2012-10-03,FLAT
2012-10-04,FLAT
2012-10-05,FLAT
2012-10-08,FLAT
2012-10-09,FLAT
2012-10-10,FLAT
2012-10-11,FLAT
2012-10-12,FLAT
2012-10-15,FLAT
2012-10-16,FLAT
2012-10-17,FLAT
2012-10-18,FLAT
2012-10-19,FLAT
2012-10-22,FLAT
2012-10-23,FLAT
2012-10-24,FLAT
2012-10-25,FLAT
2012-10-26,FLAT
