pair,z_window,k_spread,sharpe,delta_sharpe,n_dead,win_rate,n_events
1M-3M,252,0.75,-0.1029749911492579,-0.5226687337832345,1,0.5,119
1M-3M,252,-0.75,-0.09495253568125547,-0.5146462783152321,3,0.5,75
1M-3M,252,1.0,-0.24215853542681584,-0.6618522780607925,1,0.5,161
1M-3M,252,-1.0,-0.038733048197719507,-0.4584267908316962,5,0.5,102
1M-6M,42,0.1,0.3103729235397042,-0.10932081909427249,4,0.7777777777777778,58
1M-6M,42,-0.1,0.204371961792716,-0.2153217808412607,4,0.7222222222222222,52
1M-6M,42,0.2,0.2893827481611975,-0.13031099447277916,5,0.7777777777777778,58
1M-6M,42,-0.2,0.16475161883918357,-0.2549421237947931,3,0.6666666666666666,55
1M-6M,42,0.3,0.20336649550494168,-0.216327247129035,5,0.6666666666666666,64
1M-6M,42,-0.3,0.10093281901386374,-0.31876092362011293,3,0.6666666666666666,61
1M-6M,42,0.5,0.06800322549782466,-0.351690517136152,2,0.5,83
1M-6M,42,-0.5,0.0759647673467836,-0.3437289752871931,3,0.6666666666666666,67
1M-6M,42,0.75,-0.12598565394343675,-0.5456793965774134,1,0.4444444444444444,121
1M-6M,42,-0.75,0.10166560171641154,-0.31802814091756515,3,0.6666666666666666,89
1M-6M,42,1.0,-0.31694196621439225,-0.7366357088483689,4,0.3888888888888889,167
1M-6M,42,-1.0,-0.04642108069889097,-0.46611482333286763,4,0.5,118
1M-6M,63,0.1,0.3103729235397042,-0.10932081909427249,4,0.7777777777777778,58
1M-6M,63,-0.1,0.17745779243331392,-0.24223595020066277,3,0.6666666666666666,54
1M-6M,63,0.2,0.331754883183755,-0.08793885945022167,4,0.7777777777777778,59
1M-6M,63,-0.2,0.15510971664921888,-0.26458402598475783,3,0.6666666666666666,60
1M-6M,63,0.3,0.17950195797963087,-0.24019178465434582,3,0.6111111111111112,61
1M-6M,63,-0.3,0.10939171632065452,-0.31030202631332215,3,0.6666666666666666,62
1M-6M,63,0.5,0.04258581283542633,-0.37710792979855035,2,0.5,88
1M-6M,63,-0.5,0.07712123001075258,-0.3425725126232241,3,0.6666666666666666,64
1M-6M,63,0.75,-0.1975769563270764,-0.617270698961053,1,0.4444444444444444,122
1M-6M,63,-0.75,0.056819356052766154,-0.3628743865812105,3,0.6111111111111112,80
1M-6M,63,1.0,-0.2207023460019924,-0.6403960886359691,1,0.4444444444444444,154
1M-6M,63,-1.0,-0.07492202025756813,-0.4946157628915448,2,0.5,114
1M-6M,126,0.1,0.38714993394889413,-0.032543808685082554,4,0.7777777777777778,59
1M-6M,126,-0.1,0.17745779243331392,-0.24223595020066277,3,0.6666666666666666,54
1M-6M,126,0.2,0.3541229174626275,-0.06557082517134921,4,0.7777777777777778,62
1M-6M,126,-0.2,0.15558680295889618,-0.2641069396750805,3,0.6666666666666666,58
1M-6M,126,0.3,0.212151691683132,-0.2075420509508447,4,0.6666666666666666,66
1M-6M,126,-0.3,0.12275263241753251,-0.2969411102164442,3,0.6666666666666666,58
1M-6M,126,0.5,0.10412580942948921,-0.3155679332044875,4,0.5555555555555556,83
1M-6M,126,-0.5,0.07632123454199007,-0.3433725080919866,4,0.6666666666666666,66
1M-6M,126,0.75,-0.07145179274149847,-0.4911455353754752,1,0.5,116
1M-6M,126,-0.75,0.005148560987045503,-0.41454518164693116,3,0.5555555555555556,77
1M-6M,126,1.0,-0.2541379165821466,-0.6738316592161233,2,0.4444444444444444,152
1M-6M,126,-1.0,-0.008265138232031925,-0.4279588808660086,3,0.5555555555555556,108
1M-6M,252,0.1,0.37889032295980796,-0.04080341967416873,4,0.7777777777777778,59
1M-6M,252,-0.1,0.19725504344031222,-0.22243869919366446,3,0.7222222222222222,52
1M-6M,252,0.2,0.2701982815797151,-0.1494954610542616,4,0.7777777777777778,60
1M-6M,252,-0.2,0.19194991239056994,-0.22774383024340675,3,0.7222222222222222,54
1M-6M,252,0.3,0.1607717682656118,-0.2589219743683649,4,0.6111111111111112,66
1M-6M,252,-0.3,0.08843839764787999,-0.3312553449860967,3,0.6666666666666666,57
1M-6M,252,0.5,0.13697372908632752,-0.2827200135476492,4,0.5555555555555556,84
1M-6M,252,-0.5,0.027059364397739625,-0.39263437823623704,2,0.6111111111111112,67
1M-6M,252,0.75,0.07645506977334278,-0.3432386728606339,1,0.5,107
1M-6M,252,-0.75,0.05862396984841113,-0.36106977278556557,4,0.6111111111111112,79
1M-6M,252,1.0,-0.12355884203771583,-0.5432525846716925,1,0.4444444444444444,140
1M-6M,252,-1.0,0.029585115364299846,-0.3901086272696768,2,0.6111111111111112,99
3M-6M,42,0.1,0.39758880143706865,-0.022104941196908034,4,0.7222222222222222,56
3M-6M,42,-0.1,0.16740648364252508,-0.2522872589914516,4,0.6666666666666666,60
3M-6M,42,0.2,0.35263010517289584,-0.06706363746108085,4,0.7222222222222222,55
3M-6M,42,-0.2,0.17406593572476065,-0.24562780690921604,4,0.6666666666666666,65
3M-6M,42,0.3,0.2415581212132225,-0.17813562142075418,5,0.7222222222222222,56
3M-6M,42,-0.3,0.18350328561468357,-0.23619045701929312,4,0.6666666666666666,70
3M-6M,42,0.5,0.21726657211128117,-0.20242717052269552,4,0.6111111111111112,66
3M-6M,42,-0.5,0.18988652262491496,-0.22980722000906173,5,0.6666666666666666,85
3M-6M,42,0.75,-0.04399703554032935,-0.46369077817430604,3,0.3888888888888889,104
3M-6M,42,-0.75,0.043159784713686235,-0.37653395792029043,2,0.6111111111111112,118
3M-6M,42,1.0,-0.11073433712102819,-0.5304280797550048,1,0.5,157
3M-6M,42,-1.0,-0.12940518091030767,-0.5490989235442844,3,0.5555555555555556,156
3M-6M,63,0.1,0.39758880143706865,-0.022104941196908034,4,0.7222222222222222,55
