pair,mom_window,k,sharpe,delta,n_dead,win_rate
1M-6M,42,-0.2,0.17141946498639515,-0.24827427764758153,3,0.6666666666666666
1M-6M,42,0.5,0.22429447209437117,-0.1953992705396055,4,0.7222222222222222
1M-6M,42,-0.5,0.10912030044751075,-0.31057344218646593,4,0.5555555555555556
1M-6M,42,1.0,-0.05120600569090292,-0.4708997483248796,1,0.3888888888888889
1M-6M,42,-1.0,0.12229810774075262,-0.29739563489322407,1,0.5
1M-6M,63,0.2,0.355287741083212,-0.0644060015507647,4,0.7777777777777778
1M-6M,63,-0.2,0.20688498344470818,-0.2128087591892685,3,0.7222222222222222
1M-6M,63,0.5,0.20633004127183496,-0.21336370136214172,4,0.7222222222222222
1M-6M,63,-0.5,0.07432344994694708,-0.3453702926870296,3,0.6111111111111112
1M-6M,63,1.0,-0.20343929274627545,-0.6231330353802521,2,0.3888888888888889
1M-6M,63,-1.0,-0.14229899628194698,-0.5619927389159236,1,0.5
3M-6M,21,0.2,0.3969771976843415,-0.02271654494963521,3,0.7222222222222222
3M-6M,21,-0.2,0.13826392998642092,-0.28142981264755573,4,0.7222222222222222
3M-6M,21,0.5,0.2180071854906229,-0.2016865571433538,4,0.6666666666666666
3M-6M,21,-0.5,0.09503476541062784,-0.32465897722334885,4,0.6111111111111112
3M-6M,21,1.0,0.016815451305152922,-0.40287829132882375,4,0.6666666666666666
3M-6M,21,-1.0,-0.27715608146776805,-0.6968498241017447,3,0.5
3M-6M,42,0.2,0.17761823378707572,-0.24207550884690096,3,0.7222222222222222
3M-6M,42,-0.2,0.2093005256021766,-0.21039321703180008,4,0.6666666666666666
3M-6M,42,0.5,0.26801822291919497,-0.15167551971478171,4,0.7222222222222222
3M-6M,42,-0.5,0.3169008924390288,-0.10279285019494788,3,0.7222222222222222
3M-6M,42,1.0,0.03687704144675747,-0.3828167011872192,3,0.5
3M-6M,42,-1.0,0.20817291660727166,-0.21152082602670502,2,0.5555555555555556
3M-6M,63,0.2,0.352006289071822,-0.06768745356215466,5,0.7777777777777778
3M-6M,63,-0.2,0.16771580041348252,-0.2519779422204942,4,0.6666666666666666
3M-6M,63,0.5,0.30194801886108563,-0.11774572377289105,4,0.6666666666666666
3M-6M,63,-0.5,0.14466309453940265,-0.275030648094574,4,0.6111111111111112
3M-6M,63,1.0,-0.09761946644427542,-0.5173132090782521,3,0.5
3M-6M,63,-1.0,0.018596861790827274,-0.40109688084314943,2,0.5555555555555556
