base,slope,mom_win,k,thresh,tl_c,ts_c,tl_s,cd,sharpe,ann_ret,vol,mdd,n_events,eq_final
ALL|std|w63,5Y-2Y,10,0.4,aggr,-3.0,2.5,-3.5,5,-0.03756603114539256,0.01658925148029211,0.09079342202819354,-0.257866259308862,77,1.3242066631960094
ALL|std|w63,5Y-2Y,10,0.5,opt_tight,-3.25,2.75,-4.0,5,-0.05163332612577078,0.014962299038554283,0.09756684954160533,-0.25328922935438203,67,1.2884975384875135
ALL|std|w63,5Y-2Y,10,0.5,opt_loose,-3.5,2.75,-4.0,5,0.032982866941264594,0.02342955992616602,0.10398004310156941,-0.2585207387236913,61,1.4847856983886467
ALL|std|w63,5Y-2Y,10,0.5,baseline,-3.5,3.0,-4.0,5,0.010836918997371492,0.021107298885969294,0.10217838540990025,-0.2585207387236885,50,1.4283197041557254
ALL|std|w63,5Y-2Y,10,0.5,aggr,-3.0,2.5,-3.5,5,-0.0008848210823624618,0.01991858495796439,0.0920129997560996,-0.2740920153438481,86,1.400204362563168
ALL|std|w63,5Y-2Y,21,0.1,opt_tight,-3.25,2.75,-4.0,5,0.21730803510008243,0.04358928624959457,0.10855229646124404,-0.23607758712951288,31,2.0713496503872126
ALL|std|w63,5Y-2Y,21,0.1,opt_loose,-3.5,2.75,-4.0,5,0.21730803510008243,0.04358928624959457,0.10855229646124404,-0.23607758712951288,31,2.0713496503872126
ALL|std|w63,5Y-2Y,21,0.1,baseline,-3.5,3.0,-4.0,5,0.1649854554431754,0.03556352324370193,0.09433269861210494,-0.23607758712951166,21,1.8156347366659191
ALL|std|w63,5Y-2Y,21,0.1,aggr,-3.0,2.5,-3.5,5,0.128172294623307,0.03370275829981462,0.10690889431359911,-0.23502229616705483,44,1.7607496635243598
ALL|std|w63,5Y-2Y,21,0.15,opt_tight,-3.25,2.75,-4.0,5,0.20673997564616325,0.04247129408754624,0.10869351230845649,-0.236077587129511,33,2.0338007051520446
ALL|std|w63,5Y-2Y,21,0.15,opt_loose,-3.5,2.75,-4.0,5,0.20673997564616325,0.04247129408754624,0.10869351230845649,-0.236077587129511,33,2.0338007051520446
