group,n_spreads,window,long_th,short_th,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,n_trades
all_6,6,10,11,-7,-0.3132503799260552,-0.32135801818063126,-0.008554220488928954,0.08083851254073803,-0.2513403475249574,-0.03403441020578499,-0.136619331994137,492
all_6,6,10,11,-8,-0.42223861194044776,-0.43281084882419474,-0.017548968269191167,0.08144043104141795,-0.31337221123970554,-0.05600039709892324,-0.26120709534231656,509
all_6,6,10,11,-9,-0.4050371140293617,-0.40933612234522404,-0.017470771278963904,0.08414751836930523,-0.31036692421050266,-0.056290699543468624,-0.26020096078057453,500
all_6,6,10,11,-10,-0.41731541001640166,-0.4202325815946193,-0.019480412252652846,0.08616646236138677,-0.36639411886863077,-0.053167917413099834,-0.28565326301630545,484
all_6,6,10,11,-11,-0.41922336963476114,-0.41941880334740017,-0.02020982951899486,0.08731206625238705,-0.39493331414353605,-0.05117276460412687,-0.29468572425503203,463
all_6,6,10,11,-12,-0.385243304603319,-0.37837990802354216,-0.019333159178521853,0.09167680916010897,-0.43435259269508214,-0.044510288423888454,-0.28381664769309645,367
all_6,6,10,12,-1,-0.3467531501853747,-0.3587925271731476,-0.0063766823182735966,0.06921970633672624,-0.23799528761294458,-0.026793313356036248,-0.10361505879994992,439
all_6,6,10,12,-2,-0.3978591890899054,-0.40867400399510967,-0.009905548666549802,0.06926175630757818,-0.2654329132442416,-0.03731846418546851,-0.15652202438499785,438
all_6,6,10,12,-3,-0.3056256627677319,-0.3143039355954068,-0.004121963735446599,0.07076297388760192,-0.24789117614578807,-0.01662811802959222,-0.06819151317666927,438
all_6,6,10,12,-4,-0.3420879932032163,-0.351676736466556,-0.006732332387915041,0.07087043715723429,-0.25252550951482716,-0.02666000912481972,-0.10908548023161102,439
all_6,6,10,12,-5,-0.3248179414406939,-0.33694957844327034,-0.005510754417231589,0.07085866972461663,-0.2172404549233271,-0.02536707271754037,-0.09016327863156459,443
all_6,6,10,12,-6,-0.3241910103683121,-0.33452056359857646,-0.0060023965782179944,0.0722196279096711,-0.2539973056675191,-0.023631733267576838,-0.09782384799596877,448
all_6,6,10,12,-7,-0.28812631139948613,-0.2980798736443208,-0.003980968406718022,0.07380852626724684,-0.22089083474442558,-0.018022334024515183,-0.06593313742967899,445
all_6,6,10,12,-8,-0.4097792676427369,-0.42346694089958975,-0.013535373602539424,0.0751707896057965,-0.2651529588847619,-0.05104741677961825,-0.2078660453434159,471
all_6,6,10,12,-9,-0.43159464128596653,-0.4416065465496961,-0.01584077968135522,0.07654917521835783,-0.28199899185308724,-0.05617317841195609,-0.2389323612648585,447
all_6,6,10,12,-10,-0.4316585115290209,-0.4371867595918022,-0.01701286818668446,0.07887859072446354,-0.3297124398000595,-0.05159910920255606,-0.2542833305298111,423
all_6,6,10,12,-11,-0.4405093103237347,-0.4419111083848485,-0.01853755460563722,0.08051972683202697,-0.3581809994087136,-0.051754712383513014,-0.273816314788932,392
all_6,6,10,12,-12,-0.4147690536152883,-0.4087137209953658,-0.01814255090026251,0.08388025978556893,-0.37896259369831536,-0.04787425250394353,-0.2688026248852535,290
all_6,6,15,1,-1,-0.19204379153744425,-0.2017426141853156,-0.00713830477839994,0.1099773385524188,-0.320450555212493,-0.022275838385321194,-0.11529151096333334,307
all_6,6,15,1,-2,-0.17019436428971624,-0.1794933888708934,-0.004632043725588342,0.10955646009354411,-0.31249903530752693,-0.01482258567944057,-0.0763187909731401,324
all_6,6,15,1,-3,-0.16184520509245853,-0.17053318544432078,-0.003916987744757128,0.11028566120917037,-0.2995789851887867,-0.013074975009641436,-0.06490663592795476,337
all_6,6,15,1,-4,-0.21160758608931182,-0.22210100577464065,-0.009337672536215536,0.11018697725299385,-0.34955286367637134,-0.026713191355401653,-0.14821141355704925,346
all_6,6,15,1,-5,-0.17660278948587546,-0.18518239776495315,-0.005168298249874748,0.10899215016287117,-0.29296415339435344,-0.01764140148203661,-0.08479112332987804,363
all_6,6,15,1,-6,-0.15393482814713913,-0.16082679396409932,-0.0026352025572511373,0.10871487326482941,-0.27866822201388114,-0.009456415726942384,-0.04411660751023527,374
all_6,6,15,1,-7,-0.11456649053050794,-0.11930491708796362,0.0015137210418423308,0.10929101018690564,-0.25117224396721044,0.006026625465988754,0.02620122992776497,378
all_6,6,15,1,-8,-0.14941967491855015,-0.15561796395274455,-0.0027848100662344333,0.11118321483153382,-0.3302585558906268,-0.008432211721887052,-0.04656542213749426,402
all_6,6,15,1,-9,-0.13048851074900647,-0.1342842326933888,-0.0009242437989742669,0.11217409192553698,-0.24378411849469903,-0.0037912387594451285,-0.015686803293412988,422
all_6,6,15,1,-10,-0.1969014412711655,-0.20118305201395295,-0.00863290793001592,0.1131280147966656,-0.3079569975667615,-0.02803283574728451,-0.137790279141343,425
all_6,6,15,1,-11,-0.18242712324876306,-0.186533378461983,-0.0072841717972194076,0.11407148476694778,-0.320629035014623,-0.02271837856757794,-0.1175113984984123,404
all_6,6,15,1,-12,-0.14840185617863827,-0.1492238624642871,-0.0041852901439762835,0.11696728663591328,-0.323835326111822,-0.012924130897723868,-0.06920416240070948,363
all_6,6,15,2,-1,-0.18329502725968813,-0.19184088016341677,-0.005536370194763052,0.10774932330012309,-0.29965376934753757,-0.01847589038114847,-0.09056392095169519,325
all_6,6,15,2,-2,-0.16674824450254935,-0.17542788680422522,-0.0036452766728927166,0.10732444397720753,-0.2989462183048001,-0.012193754092503886,-0.06053547694668704,339
all_6,6,15,2,-3,-0.16777155545273034,-0.17622394105208272,-0.004035673744106627,0.10835222227705543,-0.2963348773441482,-0.013618625591005953,-0.06680998476061084,347
all_6,6,15,2,-4,-0.24158973085377367,-0.25225041170533724,-0.01204380957123441,0.10856326824564623,-0.3538220334299243,-0.034039173463796535,-0.1871346317779421,358
all_6,6,15,2,-5,-0.1991970867980726,-0.20794666788173646,-0.007186127852528368,0.10758180526755468,-0.29329707789682435,-0.02450119143381406,-0.11601988843223943,374
all_6,6,15,2,-6,-0.19423900245144243,-0.2015464275319552,-0.0066936924675594645,0.10770456311793883,-0.2897905730183791,-0.023098378935656187,-0.10849266696221738,387
all_6,6,15,2,-7,-0.17761023275565943,-0.18383136624003846,-0.005030320244155617,0.10811785388509614,-0.26835959198216114,-0.01874470074648944,-0.08261821524868118,389
