signal,change_win,z_win,group,tl,ts,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,n_trades
k0.25,10,63,all_6,-2.0,2.5,-0.2459730297214557,-0.26088688484659595,-0.007580878174726191,0.09421347707154314,-0.36109760638653865,-0.020993986226015587,-0.12201067249305741,30
k0.25,10,63,all_6,-2.0,3.0,-0.12338660945303519,-0.1371762097193129,0.007947737620266793,0.0751160966738416,-0.15727713234864862,0.05053333247867475,0.1449520990956421,15
k0.25,10,63,all_6,-1.5,0.5,-0.38559175757511127,-0.3868554066197286,-0.03848332167208102,0.1312820041226729,-0.5771273135705889,-0.06668081854243084,-0.48881843889510423,149
k0.25,10,63,all_6,-1.5,1.0,-0.29608840160524996,-0.3014221306002892,-0.02446625001773106,0.12487291786275516,-0.4856319165924847,-0.050380234868833335,-0.3452856630244632,131
k0.25,10,63,all_6,-1.5,1.5,-0.2759584760203103,-0.28178356451090975,-0.01730120184529138,0.11270712570220226,-0.4593836222008878,-0.03766177331791248,-0.25801473379650974,105
k0.25,10,63,all_6,-1.5,2.0,-0.15555213091775102,-0.1598028985794903,0.0003445164538244949,0.0964617216351732,-0.31339248210348986,0.0010993130770467147,0.005907323223619088,68
k0.25,10,63,all_6,-1.5,2.5,-0.17203046578990044,-0.18261352779951545,0.0024966465826057327,0.08216379971897042,-0.2343229289096104,0.010654725912754398,0.043559506587673935,34
k0.25,10,63,all_6,-1.5,3.0,-0.14566412552873415,-0.1621806772022174,0.007941184473861718,0.06743188949610242,-0.15727713234864849,0.050491666240823074,0.14482482137212527,15
k0.25,10,63,all_6,-1.0,0.5,-0.4816972854301678,-0.48183939774063905,-0.042601376680504566,0.11753531643154408,-0.5351150951665304,-0.07961161452051134,-0.5249909732305391,221
k0.25,10,63,all_6,-1.0,1.0,-0.4847148449714996,-0.48824889038356956,-0.037792406802034884,0.10856217658833192,-0.488424609560785,-0.07737613146892751,-0.4825011213245398,185
