z_windows,k_slope,yc_cw,k_yc,term_z_w,k_term,tl_c,ts_c,tl_s,adapt_days,adapt_raise,max_hold_days,sharpe,sortino,calmar,ann_ret,mdd,excess,n_events,n_dead,win_rate,consistency,min_excess,composite_score
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.75,-2.75,126,0.5,0,0.48064255584929266,0.5186565938404654,0.3040607278155235,0.059790052372467706,-0.19663852284384087,0.07591119602062901,89,2,0.7222222222222222,8.340679148051121,-0.15694355921917835,0.2853905283943858
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.75,-2.75,63,0.75,0,0.48064255584929266,0.5186565938404654,0.3040607278155235,0.059790052372467706,-0.19663852284384087,0.07591119602062901,87,2,0.7222222222222222,8.340679148051121,-0.15694355921917835,0.2853905283943858
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.75,-2.75,63,1.0,0,0.48064255584929266,0.5186565938404654,0.3040607278155235,0.059790052372467706,-0.19663852284384087,0.07591119602062901,85,2,0.7222222222222222,8.340679148051121,-0.15694355921917835,0.2853905283943858
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.75,-2.75,63,0.5,0,0.48064255584929266,0.5186565938404654,0.3040607278155235,0.059790052372467706,-0.19663852284384087,0.07591119602062901,87,2,0.7222222222222222,8.340679148051121,-0.15694355921917835,0.2853905283943858
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.75,-2.625,63,0.5,0,0.48010732612992385,0.5181737175183605,0.30383547598437016,0.05974575918512204,-0.19663852284384153,0.07586690283328335,89,2,0.7222222222222222,8.34357934160322,-0.15694355921917835,0.28506417262742817
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.75,-2.625,42,0.75,0,0.48010732612992385,0.5181737175183605,0.30383547598437016,0.05974575918512204,-0.19663852284384153,0.07586690283328335,89,2,0.7222222222222222,8.34357934160322,-0.15694355921917835,0.28506417262742817
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.75,-2.625,0,0.0,0,0.48010732612992385,0.5181737175183605,0.30383547598437016,0.05974575918512204,-0.19663852284384153,0.07586690283328335,91,2,0.7222222222222222,8.34357934160322,-0.15694355921917835,0.28506417262742817
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.75,-2.625,63,0.75,0,0.48010732612992385,0.5181737175183605,0.30383547598437016,0.05974575918512204,-0.19663852284384153,0.07586690283328335,89,2,0.7222222222222222,8.34357934160322,-0.15694355921917835,0.28506417262742817
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.75,-2.625,42,1.0,0,0.48010732612992385,0.5181737175183605,0.30383547598437016,0.05974575918512204,-0.19663852284384153,0.07586690283328335,87,2,0.7222222222222222,8.34357934160322,-0.15694355921917835,0.28506417262742817
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.75,-2.625,42,0.5,0,0.48010732612992385,0.5181737175183605,0.30383547598437016,0.05974575918512204,-0.19663852284384153,0.07586690283328335,89,2,0.7222222222222222,8.34357934160322,-0.15694355921917835,0.28506417262742817
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.875,-2.75,42,1.0,0,0.4800746548195207,0.5181333870177842,0.3038215784336973,0.05974302639128637,-0.19663852284384087,0.07586417003944768,84,2,0.7222222222222222,8.342250834021057,-0.15694355921917835,0.2850434224296161
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.875,-2.75,42,0.75,0,0.4800746548195207,0.5181333870177842,0.3038215784336973,0.05974302639128637,-0.19663852284384087,0.07586417003944768,86,2,0.7222222222222222,8.342250834021057,-0.15694355921917835,0.2850434224296161
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.875,-2.75,42,0.5,0,0.4800746548195207,0.5181333870177842,0.3038215784336973,0.05974302639128637,-0.19663852284384087,0.07586417003944768,86,2,0.7222222222222222,8.342250834021057,-0.15694355921917835,0.2850434224296161
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.875,-2.75,0,0.0,0,0.4800746548195207,0.5181333870177842,0.3038215784336973,0.05974302639128637,-0.19663852284384087,0.07586417003944768,87,2,0.7222222222222222,8.342250834021057,-0.15694355921917835,0.2850434224296161
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.875,-2.75,63,0.5,0,0.4800746548195207,0.5181333870177842,0.3038215784336973,0.05974302639128637,-0.19663852284384087,0.07586417003944768,86,2,0.7222222222222222,8.342250834021057,-0.15694355921917835,0.2850434224296161
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.875,-2.75,63,0.75,0,0.4800746548195207,0.5181333870177842,0.3038215784336973,0.05974302639128637,-0.19663852284384087,0.07586417003944768,86,2,0.7222222222222222,8.342250834021057,-0.15694355921917835,0.2850434224296161
